Address,AreaName,bedrooms,bathrooms,sqft_living,sqft_lot,floors, price 
,,2,1,990,15120,1,"$325,000.00 "
,,2,1,1010,4120,2,"$219,950.00 "
,,3,1,1720,9830,1,"$950,000.00 "
,,3,1,1630,3200,1.5,"$925,000.00 "
,,4,1.5,1310,8250,1,"$251,200.00 "
,,3,1.5,1610,5304,1,"$215,000.00 "
,,3,2,1850,8208,1,"$245,000.00 "
,,3,1.75,1270,4815,1.5,"$259,000.00 "
,,4,1.5,1420,6720,1.5,"$349,950.00 "
,,5,4.5,5220,67319,2,"$1,565,000.00 "
,,2,1,1410,4500,1,"$600,000.00 "
,,2,1.5,1170,1274,3,"$405,000.00 "
,,3,2.5,1860,10027,2,"$625,000.00 "
,,4,1,1620,37075,1.5,"$430,000.00 "
,,3,3,1280,1085,3,"$533,000.00 "
,,4,2.5,2750,9949,2,"$1,050,000.00 "
,,3,1.75,1420,3000,1,"$230,000.00 "
,,4,1.75,2000,8700,1,"$275,000.00 "
,,2,1,1100,3598,1,"$403,000.00 "
,,3,3,1720,70567,1,"$550,388.00 "
,,3,1.5,1240,12400,1,"$415,500.00 "
,,3,1.75,2170,4000,1,"$913,000.00 "
,,2,1,1800,5182,1,"$334,998.00 "
,,3,1,1160,8320,1,"$201,500.00 "
,,3,2.5,3030,46538,2,"$820,000.00 "
,,3,1,890,7200,1,"$371,000.00 "
,,4,2.5,2150,7670,1,"$229,950.00 "
,,4,2.5,2150,7670,1,"$344,900.00 "
,,3,2.5,2060,9715,2,"$840,000.00 "
,,3,1.5,1380,12196,1,"$285,000.00 "
,,4,2.25,1800,7200,1,"$475,000.00 "
,,2,1,1460,7832,1,"$420,000.00 "
,,3,2,2210,5000,1.5,"$685,000.00 "
,,4,3,3590,89640,2,"$879,000.00 "
,,3,1,1140,8775,1,"$197,200.00 "
,,3,1,1240,5000,1.5,"$529,950.00 "
,,4,2.5,4340,141570,2.5,"$1,090,000.00 "
,,3,1.5,1570,1050,2,"$792,000.00 "
,,3,2.5,1680,10300,2,"$262,000.00 "
,,3,1.75,1560,5760,1,"$353,900.00 "
,,1,1.5,1200,44866,1.5,"$380,000.00 "
,,3,2.5,1690,5175,2,"$305,000.00 "
,,4,2,2310,5004,1,"$440,000.00 "
,,4,3.5,2650,3060,2,"$1,008,000.00 "
,,5,3,3610,7555,2,"$549,900.00 "
,,4,3,2620,214750,2,"$678,500.00 "
,,3,2.25,1760,8287,1,"$270,000.00 "
,,3,1,940,12521,1.5,"$430,000.00 "
,,5,4.25,4830,8050,2.5,"$1,925,000.00 "
,,4,2.75,3350,5416,2,"$790,500.00 "
,,3,2.25,1570,7200,2,"$447,450.00 "
,,3,2,2240,5200,1,"$375,000.00 "
,,4,2,1950,9940,1,"$565,000.00 "
,,2,1,1010,3916,1,"$400,000.00 "
,,3,1.5,1630,10200,1,"$246,000.00 "
,,3,1.75,1420,6289,1,"$329,922.00 "
,,5,3.25,3950,44431,1,"$1,249,000.00 "
,,3,1,1210,7425,1,"$375,000.00 "
,,3,1.75,1890,9920,1,"$385,000.00 "
,,4,2.5,1690,4080,1.5,"$591,500.00 "
,,4,2,2560,12155,1,"$255,000.00 "
,,3,1.5,1350,7800,1,"$275,000.00 "
,,4,2.75,3120,5000,2,"$800,000.00 "
,,2,1,1140,7435,1,"$327,000.00 "
,,4,1.5,2230,11536,1,"$355,000.00 "
,,2,1,1050,8220,1,"$310,000.00 "
,,5,3.25,4180,49222,2,"$869,000.00 "
,,3,2,1200,5700,1,"$272,000.00 "
,,5,2.25,3320,60984,2,"$665,000.00 "
,,3,2.5,1590,8449,2,"$225,000.00 "
,,3,2.5,2750,37096,2,"$375,000.00 "
,,3,1.5,1530,7200,1,"$375,500.00 "
,,3,1.75,1570,6500,1,"$550,000.00 "
,,3,1,1470,7680,1,"$248,000.00 "
,,3,1,1470,7680,1,"$546,940.00 "
,,4,3,3150,6175,2,"$680,000.00 "
,,4,2.5,2380,6124,2,"$350,000.00 "
,,2,2.5,2000,2500,3,"$593,000.00 "
,,2,1,1140,8147,1,"$390,000.00 "
,,3,1,1340,18000,1,"$297,000.00 "
,,2,1,1450,9150,1,"$355,000.00 "
,,3,2.5,2020,26670,2,"$309,900.00 "
,,3,2.25,1810,12000,2,"$257,000.00 "
,,4,3,3600,9687,2,"$1,698,000.00 "
,,3,2,1260,2550,2,"$300,000.00 "
,,3,2,1560,1156,3,"$500,000.00 "
,,8,4,4020,7500,1,"$900,000.00 "
,,4,3,3150,9130,2,"$695,000.00 "
,,4,2.5,1680,6655,2,"$213,400.00 "
,,2,1,1320,8830,1,"$425,000.00 "
,,3,3,2700,47050,2,"$420,000.00 "
,,1,1,1080,5000,1.5,"$411,000.00 "
,,4,2.25,3130,41382,2,"$762,500.00 "
,,5,4.5,4850,40902,2,"$569,950.00 "
,,4,1,1220,8500,1.5,"$258,000.00 "
,,3,2.25,1780,3665,2,"$499,000.00 "
,,3,1,1250,10723,1,"$310,000.00 "
,,2,2.5,1780,1311,3,"$398,500.00 "
,,4,2.5,1930,8660,1,"$250,600.00 "
,,4,2.5,2470,6116,1,"$352,000.00 "
,,2,1,1180,2160,1,"$600,000.00 "
,,3,1,2270,4182,1,"$645,000.00 "
,,4,2.5,1770,5000,2,"$291,500.00 "
,,4,1.75,2250,13515,1,"$350,000.00 "
,,3,2.5,1540,7280,1,"$279,000.00 "
,,2,1,820,5400,1,"$320,000.00 "
,,2,2,1580,5203,1,"$495,000.00 "
,,4,2.5,2430,42646,1,"$490,000.00 "
,,5,1.5,2160,5000,1.5,"$770,000.00 "
,,3,1.75,1770,29004,1,"$215,000.00 "
,,3,3.5,3580,95832,1.5,"$665,000.00 "
,,3,2.25,1890,7498,1,"$423,500.00 "
,,3,3,1910,4800,1.5,"$850,000.00 "
,,2,1,910,6232,1,"$155,000.00 "
,,3,2.25,1460,7210,1,"$505,000.00 "
,,3,3.5,3310,5558,2,"$780,000.00 "
,,3,1.5,1630,22764,1,"$165,000.00 "
,,2,2.5,2130,5001,1,"$707,000.00 "
,,3,2.5,1220,1475,3,"$497,000.00 "
,,4,1.75,1670,8856,1,"$349,170.00 "
,,4,1.5,1300,10050,1.5,"$287,000.00 "
,,4,2.5,3220,20251,1,"$2,375,000.00 "
,,4,2.5,2430,14400,1,"$645,000.00 "
,,5,2.25,2240,9652,2,"$238,000.00 "
,,5,2.25,2240,9652,2,"$328,000.00 "
,,2,1.5,790,1123,2,"$365,000.00 "
,,3,1,1380,8147,1,"$380,000.00 "
,,4,1.5,1680,10500,2,"$525,000.00 "
,,4,2.25,2000,3672,2,"$402,000.00 "
,,2,1,1680,9250,1,"$308,000.00 "
,,3,2.5,1960,6997,2,"$405,000.00 "
,,3,1.75,2590,32380,1,"$808,000.00 "
,,4,3.5,3790,6874,2.5,"$875,000.00 "
,,3,2.5,2370,55321,3,"$860,000.00 "
,,4,2.25,1930,7925,1,"$367,500.00 "
,,6,3.5,2580,13572,1,"$604,000.00 "
,,2,0.75,890,19703,1,"$230,000.00 "
,,4,2.75,2160,8148,1,"$435,000.00 "
,,4,2.5,1970,7098,2,"$347,500.00 "
,,4,1.75,1570,16697,1,"$525,000.00 "
,,2,1.5,1480,15641,1,"$280,000.00 "
,,2,1.5,1480,15641,1,"$490,000.00 "
,,4,1.75,1430,5490,1,"$265,000.00 "
,,4,2.25,2720,18295,1,"$645,000.00 "
,,3,2.25,2420,31497,1,"$390,000.00 "
,,3,2.5,1400,7629,1,"$267,500.00 "
,,4,3.5,5844,10766,2,"$1,275,000.00 "
,,4,1.75,1840,10720,1,"$404,000.00 "
,,3,2.25,2530,12042,2,"$380,000.00 "
,,4,2.75,2810,10300,1,"$812,500.00 "
,,3,1,1020,8610,1,"$265,000.00 "
,,5,2.75,2550,7725,1,"$480,000.00 "
,,1,1,710,4725,1,"$264,000.00 "
,,5,3,5530,38816,1.5,"$1,350,000.00 "
,,4,1.75,2150,9000,1,"$550,000.00 "
,,2,1.5,880,2400,1.5,"$615,000.00 "
,,3,1.75,1630,28600,1,"$464,000.00 "
,,3,1,1380,30940,2,"$365,000.00 "
,,4,2.25,2800,10800,1,"$490,000.00 "
,,4,2.25,2070,7350,2,"$280,927.00 "
,,2,1,830,6017,1,"$282,613.00 "
,,3,2.25,2770,15886,2,"$675,000.00 "
,,4,2.5,2060,7475,1,"$575,550.00 "
,,3,2,1490,7770,1,"$259,900.00 "
,,4,2.25,2120,8267,2,"$450,000.00 "
,,4,2.5,2810,6296,2,"$487,500.00 "
,,4,2.25,2400,17842,2,"$275,000.00 "
,,3,2.5,2460,5027,2,"$305,000.00 "
,,3,1.75,2030,217800,1,"$395,000.00 "
,,3,1,880,7648,1,"$215,000.00 "
,,3,2,1320,6000,1.5,"$410,000.00 "
,,4,2.5,2160,7826,1,"$440,000.00 "
,,4,3.5,4190,15724,2,"$1,160,000.00 "
,,4,2,2280,7200,1,"$500,000.00 "
,,5,2.75,2590,6120,2,"$961,000.00 "
,,4,2.25,2770,9340,2,"$825,000.00 "
,,3,1.75,2145,3840,1.5,"$734,000.00 "
,,4,4.25,4480,5715,2,"$490,000.00 "
,,4,2.5,1780,6000,2,"$175,000.00 "
,,1,1,720,4800,1,"$190,000.00 "
,,4,2.25,2050,12581,2,"$305,000.00 "
,,3,1,2040,7936,1,"$1,300,000.00 "
,,2,1,920,6600,1,"$417,000.00 "
,,2,1,680,4190,1,"$275,000.00 "
,,3,2.5,1940,8196,2,"$661,000.00 "
,,4,2.75,2230,9640,1,"$435,000.00 "
,,5,2.25,2910,9454,1,"$788,000.00 "
,,5,3.25,5270,17232,2,"$1,795,000.00 "
,,5,3.25,2820,6589,1.5,"$408,000.00 "
,,2,1,1790,3760,1.5,"$570,000.00 "
,,5,3.25,2920,6960,2,"$1,540,000.00 "
,,2,1,840,5510,1,"$400,000.00 "
,,3,1.75,1820,8740,1,"$247,000.00 "
,,3,1.75,1550,7200,1,"$453,000.00 "
,,2,1,1270,3008,1,"$235,000.00 "
,,4,1.75,2460,5750,1.5,"$675,000.00 "
,,3,2,2110,5150,1,"$516,200.00 "
,,1,1,920,91476,1.5,"$650,000.00 "
,,3,1.5,1500,10227,1,"$257,100.00 "
,,2,2,1440,9985,1,"$457,000.00 "
,,3,1.75,1610,3478,1.5,"$540,000.00 "
,,3,1.75,1970,10270,1,"$268,000.00 "
,,3,1,1150,7314,1,"$300,000.00 "
,,2,2.5,2110,114127,1,"$380,000.00 "
,,3,2.5,3580,54450,1.5,"$725,000.00 "
,,3,1,1000,19204,1,"$249,000.00 "
,,5,1,1680,9383,1,"$274,000.00 "
,,4,3.25,3950,10912,2,"$1,780,000.00 "
,,3,1.75,2390,7149,1,"$396,500.00 "
,,2,1.5,1820,7800,1,"$460,000.00 "
,,3,1,1100,8536,1,"$277,000.00 "
,,6,4,2280,5275,1,"$449,500.00 "
,,4,3,2530,4560,1.5,"$785,950.00 "
,,3,2.5,1940,9775,1,"$545,000.00 "
,,3,2,1360,9688,1,"$244,000.00 "
,,3,2.5,1660,2415,2,"$165,000.00 "
,,2,1,800,5000,1,"$435,000.00 "
,,3,2.5,2670,10082,1,"$642,000.00 "
,,3,2.5,1720,4120,2,"$340,000.00 "
,,4,2.5,3550,35689,2,"$730,000.00 "
,,3,1.75,1370,2800,1,"$563,250.00 "
,,5,2.5,2820,67518,2,"$675,000.00 "
,,3,1.5,1620,6630,1,"$620,000.00 "
,,2,2,1290,9041,1,"$275,000.00 "
,,3,1,1830,8209,1,"$270,000.00 "
,,4,2.5,2040,5472,2,"$325,000.00 "
,,4,2.5,1850,1836,2,"$476,100.00 "
,,2,1,1300,12000,1,"$700,000.00 "
,,4,2,1620,5200,1.5,"$220,000.00 "
,,3,1.75,1560,10919,1,"$236,000.00 "
,,3,2.5,2600,4750,1,"$790,000.00 "
,,3,1,2010,6000,1,"$350,000.00 "
,,2,1,780,5300,1,"$130,000.00 "
,,4,2.5,1982,6406,2,"$283,200.00 "
,,3,1,1500,6250,1,"$273,000.00 "
,,5,2.25,2460,8710,1,"$599,000.00 "
,,4,2.5,2680,11998,1,"$460,000.00 "
,,4,4.25,5860,52889,2,"$1,157,200.00 "
,,4,1.75,1720,8750,1,"$385,000.00 "
,,3,1,1420,7420,1.5,"$264,250.00 "
,,3,2.5,1760,1472,3,"$608,000.00 "
,,3,2.5,2790,48994,2,"$450,000.00 "
,,3,2,2360,4800,2,"$1,755,000.00 "
,,5,2,1890,6050,2,"$339,950.00 "
,,6,3.75,3810,6150,2,"$760,000.00 "
,,2,1,1160,5395,1,"$350,000.00 "
,,3,1.75,2320,55847,1,"$541,500.00 "
,,6,2.75,3280,16449,1,"$730,000.00 "
,,3,1,980,5600,1,"$215,000.00 "
,,3,2,1640,9972,1,"$420,000.00 "
,,4,2.25,2060,8470,1,"$655,000.00 "
,,3,2.5,1500,10652,2,"$240,000.00 "
,,4,2,2360,6000,1,"$730,000.00 "
,,4,1.5,1940,12100,1,"$390,000.00 "
,,3,1,1280,10000,1,"$473,000.00 "
,,4,3.5,3630,5670,2,"$698,000.00 "
,,3,2.5,1820,4883,2,"$511,000.00 "
,,2,1.5,960,1808,2,"$358,000.00 "
,,3,1.75,1630,8400,1,"$499,990.00 "
,,4,2.25,1940,10200,1,"$322,000.00 "
,,3,1,980,9682,1,"$201,000.00 "
,,4,2.5,3140,16200,1,"$765,000.00 "
,,4,2.75,2880,5750,1.5,"$920,000.00 "
,,4,2,1650,7552,1,"$360,000.00 "
,,3,1.75,1980,9220,2,"$297,300.00 "
,,3,1,860,9403,1,"$399,000.00 "
,,3,1,1430,10005,1.5,"$400,000.00 "
,,3,1.75,1260,10164,1,"$230,000.00 "
,,3,1,960,4560,1,"$290,000.00 "
,,3,2.5,2060,7658,2,"$323,800.00 "
,,4,1.5,1430,6380,1.5,"$574,500.00 "
,,3,2.25,1670,1596,2,"$505,000.00 "
,,2,1,880,10950,1,"$372,500.00 "
,,3,1.5,1300,19163,1,"$425,000.00 "
,,3,2.5,2380,214315,1.5,"$446,250.00 "
,,2,0.75,520,6862,1,"$330,000.00 "
,,3,2.5,2680,17707,2,"$608,095.00 "
,,3,2.5,2140,10136,1,"$550,000.00 "
,,4,2.5,1820,16103,2,"$265,000.00 "
,,4,2.25,1820,8255,1.5,"$399,888.00 "
,,2,1,1050,2570,1,"$430,000.00 "
,,3,2.5,2100,6092,2,"$554,990.00 "
,,3,2.5,2210,6280,2,"$359,950.00 "
,,2,1,860,2599,1,"$405,000.00 "
,,2,1,870,4025,1,"$280,000.00 "
,,4,2.25,2570,11070,2,"$479,950.00 "
,,5,1.75,2980,53578,1,"$575,000.00 "
,,4,2.25,2360,7733,2,"$392,000.00 "
,,4,2.25,2310,36136,2,"$760,500.00 "
,,3,2.5,2300,9521,2,"$435,000.00 "
,,4,2.75,2810,8570,2,"$1,565,000.00 "
,,4,1.5,2040,10488,1,"$261,000.00 "
,,3,2.25,3290,5000,2,"$1,482,500.00 "
,,7,4,2960,2665,2,"$853,800.00 "
,,3,2.5,2670,10496,2,"$657,500.00 "
,,4,2.5,2530,9933,2,"$331,950.00 "
,,3,1.75,1720,5899,1,"$514,000.00 "
,,3,3.5,3090,27598,2,"$496,000.00 "
,,4,2.5,3930,21894,2,"$1,093,000.00 "
,,3,1,1120,5200,1,"$195,700.00 "
,,4,2.25,3960,8640,2,"$1,395,710.00 "
,,4,3.25,4060,20822,2,"$1,175,000.00 "
,,3,2.5,2350,9648,1,"$643,403.00 "
,,4,2.5,2380,7066,2,"$357,000.00 "
,,3,1.75,1480,8163,1,"$865,000.00 "
,,3,2.5,2930,9280,2,"$905,000.00 "
,,3,1.5,1290,7100,1,"$265,000.00 "
,,2,2.5,2730,7246,2,"$535,000.00 "
,,3,1,1290,5440,1,"$450,000.00 "
,,4,2.5,2170,7533,2,"$460,500.00 "
,,4,1.75,1850,8580,1,"$315,000.00 "
,,4,2.5,2110,13939,1,"$607,500.00 "
,,2,1,960,3235,1,"$432,000.00 "
,,3,4,3910,5350,2,"$1,695,000.00 "
,,4,2.5,2590,6139,2,"$479,000.00 "
,,5,2.75,3080,6600,2,"$475,000.00 "
,,3,1,1630,8146,1,"$415,000.00 "
,,2,1,910,5000,1,"$450,000.00 "
,,3,2.5,2780,33503,1.5,"$1,140,000.00 "
,,5,3,3880,8432,2,"$430,000.00 "
,,3,1.75,1360,10742,1,"$296,000.00 "
,,4,2.25,2560,8927,1,"$303,000.00 "
,,4,2.5,2600,6015,2,"$641,000.00 "
,,3,2.25,1220,5739,1,"$280,000.00 "
,,3,2,1560,9635,1,"$260,750.00 "
,,4,2.5,2080,5191,2,"$601,000.00 "
,,3,1.5,1490,6604,1,"$255,000.00 "
,,4,2.75,2020,10720,1,"$555,000.00 "
,,3,1.5,1530,10827,1,"$865,000.00 "
,,4,2.5,3450,17400,1.5,"$1,388,000.00 "
,,3,2.25,1400,31626,1,"$315,000.00 "
,,2,1,1730,9610,1,"$200,000.00 "
,,3,1,1370,6450,1,"$357,000.00 "
,,2,1.5,1050,934,2,"$390,000.00 "
,,5,1.75,2840,10220,1,"$462,000.00 "
,,2,1,1010,5200,1,"$174,500.00 "
,,2,1,1210,7140,1.5,"$305,000.00 "
,,5,1.75,1720,14040,1,"$449,000.00 "
,,3,2,2710,5000,2,"$260,000.00 "
,,4,2.5,3110,6142,2,"$751,000.00 "
,,2,1,1250,9270,1,"$370,037.00 "
,,3,1.75,1900,8910,2,"$229,950.00 "
,,3,1.75,1740,7682,1,"$349,000.00 "
,,4,2.5,2070,3808,2,"$348,000.00 "
,,3,3.25,3030,5600,2,"$1,220,000.00 "
,,4,3,3610,18948,2,"$510,000.00 "
,,3,1.5,1520,6805,1,"$265,000.00 "
,,3,2.75,2780,4815,3,"$1,250,000.00 "
,,4,4,5545,871200,2,"$937,500.00 "
,,3,1.75,2590,8384,1,"$485,000.00 "
,,4,1,1150,5217,1.5,"$489,000.00 "
,,2,1,920,5120,1,"$400,000.00 "
,,3,2.5,2110,3600,2,"$638,000.00 "
,,3,1.75,1170,8740,1,"$440,000.00 "
,,6,2,1900,8240,1,"$305,000.00 "
,,6,2,1900,8240,1,"$649,950.00 "
,,4,2.5,3290,6012,2,"$680,000.00 "
,,4,2.5,2660,22050,2,"$629,000.00 "
,,3,2.5,2160,7584,2,"$555,000.00 "
,,4,2.75,2700,35362,2,"$669,000.00 "
,,3,2.5,1980,6608,2,"$272,000.00 "
,,4,2.25,2600,9900,1,"$270,000.00 "
,,3,1,1280,9775,1,"$215,000.00 "
,,3,1.5,1710,17707,1,"$690,000.00 "
,,4,1.75,1270,6825,1,"$256,000.00 "
,,3,2.25,1890,7314,1,"$255,000.00 "
,,7,4,3440,8100,2,"$550,000.00 "
,,3,1,1190,5280,1,"$410,000.00 "
,,2,1,1030,4366,1,"$410,000.00 "
,,3,1.75,1240,4000,1,"$259,000.00 "
,,3,1,1730,21183,1,"$292,000.00 "
,,4,3.5,4610,12500,2,"$1,648,000.00 "
,,5,1,1590,5000,1.5,"$518,000.00 "
,,3,2.5,1760,3097,2,"$485,000.00 "
,,3,2,1330,35060,1,"$259,500.00 "
,,4,2.5,2340,5420,2,"$354,000.00 "
,,3,2.25,3740,22464,2,"$999,950.00 "
,,3,1.75,1150,10466,1,"$464,500.00 "
,,3,2.5,1750,4200,2,"$300,000.00 "
,,3,2.75,3890,7216,2,"$1,080,000.00 "
,,4,2.5,1770,6666,2,"$309,950.00 "
,,3,1,1160,3700,1.5,"$315,000.00 "
,,3,1,1440,5580,1.5,"$499,950.00 "
,,4,2,2600,4800,1,"$780,000.00 "
,,3,3.25,2640,16090,1,"$885,000.00 "
,,2,1,1010,3885,1.5,"$500,000.00 "
,,3,2,1840,6755,1,"$329,000.00 "
,,4,1.75,1720,7455,1,"$246,000.00 "
,,3,1.5,1280,9600,1,"$405,000.00 "
,,4,1.75,1700,7800,1,"$349,000.00 "
,,4,2.5,1980,12062,2,"$374,950.00 "
,,3,2,1160,7217,1,"$306,000.00 "
,,4,1.75,1980,7840,1,"$416,000.00 "
,,3,2.5,1960,12476,2,"$560,000.00 "
,,3,1.5,1270,20700,1,"$260,000.00 "
,,3,2.25,2060,38377,1,"$306,500.00 "
,,3,1.75,1980,11274,1,"$299,950.00 "
,,3,2.5,1450,8977,1,"$265,500.00 "
,,3,1.5,1200,12000,1,"$219,000.00 "
,,3,1.75,1830,17349,1,"$365,000.00 "
,,3,2,2090,42689,1.5,"$499,000.00 "
,,3,1.75,1510,8301,1,"$366,000.00 "
,,3,2.25,1310,1264,3,"$514,950.00 "
,,4,2.75,3790,10669,2,"$875,000.00 "
,,3,2.25,2240,8800,1,"$831,000.00 "
,,4,3.25,2740,7266,2,"$689,900.00 "
,,3,2.5,1660,10763,2,"$315,000.00 "
,,0,0,2460,8049,2,"$355,000.00 "
,,3,1,1480,7284,1,"$336,500.00 "
,,3,2.75,2640,4050,1.5,"$1,100,000.00 "
,,6,2,1900,8057,1,"$375,000.00 "
,,3,2,2860,24046,1,"$289,275.00 "
,,4,3.5,3440,6000,2,"$455,000.00 "
,,3,1.75,1640,10695,1,"$505,000.00 "
,,3,1,1450,3350,1.5,"$450,000.00 "
,,3,2.5,2300,7398,2,"$567,500.00 "
,,3,1.5,1460,8505,1,"$265,000.00 "
,,3,2,1570,14992,1,"$340,000.00 "
,,3,2,1540,8885,1.5,"$375,000.00 "
,,6,3,3300,4218,2,"$920,000.00 "
,,4,2.25,2130,11843,2,"$850,000.00 "
,,3,1,1010,9750,1,"$202,000.00 "
,,4,3,2420,12000,1,"$725,000.00 "
,,3,3.25,3870,33980,2,"$900,000.00 "
,,2,1.5,1960,6000,1,"$680,200.00 "
,,3,1,1170,9000,1,"$216,500.00 "
,,3,1.5,1890,7650,1,"$325,000.00 "
,,3,2.5,2250,4134,2,"$675,000.00 "
,,2,0.75,750,16321,1,"$435,000.00 "
,,3,1.75,1610,14000,1,"$263,500.00 "
,,4,2.25,2590,36256,2,"$550,000.00 "
,,3,2.5,2520,3750,2,"$875,000.00 "
,,4,1,1340,8400,1,"$246,600.00 "
,,3,2.25,1460,941,3,"$337,000.00 "
,,3,1.75,1380,7500,1,"$240,000.00 "
,,3,1.75,1510,11120,1,"$490,000.00 "
,,5,2.5,2510,83231,1,"$510,000.00 "
,,3,1,910,8008,1,"$305,000.00 "
,,3,2.5,1970,3655,2,"$350,000.00 "
,,3,1.75,1540,6632,1,"$284,200.00 "
,,4,2.5,1980,9757,2,"$357,000.00 "
,,4,2.75,3150,38865,1,"$854,000.00 "
,,4,2.5,4700,49658,2,"$1,175,000.00 "
,,3,2.25,2300,15952,1,"$1,000,000.00 "
,,4,2.25,1880,3000,2,"$616,500.00 "
,,4,2.75,2640,3750,2,"$750,000.00 "
,,6,4.5,3900,9100,2,"$650,000.00 "
,,4,2.25,2670,10050,1,"$275,000.00 "
,,4,1.75,1840,4280,1,"$540,000.00 "
,,3,1,1120,10665,1,"$225,000.00 "
,,4,2.5,2970,9072,2,"$845,000.00 "
,,3,2.25,1410,7740,1,"$490,000.00 "
,,4,2.5,3060,8167,2,"$753,000.00 "
,,3,1.75,2490,7210,1,"$475,000.00 "
,,1,0.75,840,7203,1.5,"$124,000.00 "
,,1,0.75,840,7203,1.5,"$224,000.00 "
,,2,1,1130,3800,1,"$485,000.00 "
,,4,1.75,1850,6000,1,"$230,000.00 "
,,4,2.75,2330,14175,1,"$372,000.00 "
,,4,2.5,1880,9426,2,"$306,000.00 "
,,4,3.5,2980,3000,2,"$905,000.00 "
,,4,1,1440,6678,1,"$440,000.00 "
,,3,1.75,1630,10001,1,"$280,000.00 "
,,3,2.5,1778,147823,2,"$435,000.00 "
,,3,2.5,1930,4500,2,"$425,000.00 "
,,2,0.75,1130,11429,1,"$204,950.00 "
,,2,1.75,1650,7500,1,"$670,000.00 "
,,2,1,820,2723,1,"$475,000.00 "
,,5,2.5,2900,6650,1,"$352,000.00 "
,,4,1.75,2330,8800,1,"$575,000.00 "
,,4,3.5,4440,20668,2,"$1,730,000.00 "
,,3,2,1660,5070,2,"$491,000.00 "
,,4,2.5,3020,7465,2,"$750,000.00 "
,,4,2.5,1850,50662,1,"$830,000.00 "
,,6,3.75,5960,20197,2,"$1,140,000.00 "
,,3,1,960,27442,1,"$137,124.00 "
,,4,1,1150,6000,1.5,"$225,000.00 "
,,4,2.5,2130,7300,1,"$732,600.00 "
,,4,2.25,2460,8001,2,"$818,000.00 "
,,3,2.25,2360,14950,1,"$431,000.00 "
,,2,2.25,1320,1034,3,"$304,000.00 "
,,5,2,1910,4667,1,"$650,000.00 "
,,2,2,1610,6160,2,"$450,000.00 "
,,4,1,1610,8401,1,"$269,000.00 "
,,3,1,1160,10732,1,"$875,000.00 "
,,4,2.25,2870,8393,1,"$890,000.00 "
,,4,2.5,2280,9725,2,"$565,000.00 "
,,2,2,1370,1339,2,"$448,175.00 "
,,0,0,1470,4800,2,"$235,000.00 "
,,5,3,2970,6500,2,"$680,000.00 "
,,3,1.75,1460,12367,2,"$629,000.00 "
,,3,3.5,1570,1486,2.5,"$494,000.00 "
,,4,3,2880,5500,2,"$1,100,000.00 "
,,5,2.5,1900,9460,1,"$450,000.00 "
,,3,1.75,2020,11050,1,"$330,000.00 "
,,4,2.5,3110,11397,2,"$960,000.00 "
,,4,2.5,2390,7056,2,"$360,000.00 "
,,3,2.5,2150,11672,2,"$378,000.00 "
,,3,1.75,1340,6250,1,"$499,950.00 "
,,3,2.5,1990,12866,2,"$450,000.00 "
,,2,2,1600,5969,1,"$523,500.00 "
,,3,2.5,2680,43995,2,"$600,000.00 "
,,3,2.5,2080,4828,2,"$290,000.00 "
,,3,3.25,1340,5434,2,"$176,000.00 "
,,3,2,2590,3750,1.5,"$885,000.00 "
,,2,1.75,1240,3000,1.5,"$483,000.00 "
,,3,1,1310,7125,1,"$240,000.00 "
,,4,2.25,2530,5200,1,"$720,000.00 "
,,4,2.5,1780,5822,2,"$311,000.00 "
,,3,2,1600,7995,1,"$332,500.00 "
,,3,1.75,1570,15330,1,"$164,950.00 "
,,3,1.75,1570,15330,1,"$371,000.00 "
,,3,1.75,1650,16200,1,"$264,500.00 "
,,4,2.25,2920,6513,2,"$1,738,000.00 "
,,2,1,870,4280,1,"$503,000.00 "
,,4,2.5,2830,5010,2,"$738,000.00 "
,,2,1,980,3350,1,"$393,000.00 "
,,2,1,990,45528,1,"$280,000.00 "
,,4,2.5,2360,9647,1,"$260,000.00 "
,,2,1,1000,4640,1,"$505,000.00 "
,,3,1.5,1660,8000,1,"$241,000.00 "
,,3,1.75,1520,9605,1,"$530,000.00 "
,,1,1,1180,4000,1.5,"$713,000.00 "
,,3,1.75,1770,10125,2,"$487,000.00 "
,,2,1,980,5393,1,"$128,000.00 "
,,3,1,1840,10178,1,"$210,500.00 "
,,3,2.5,1810,7210,1,"$420,000.00 "
,,3,2.5,1780,4320,2,"$679,000.00 "
,,4,2.75,2840,4227,3,"$784,950.00 "
,,4,2.5,2650,6366,2,"$352,000.00 "
,,3,1.5,1270,1318,2,"$386,000.00 "
,,3,1.75,1260,17000,1,"$335,000.00 "
,,3,2,1750,15500,1,"$472,500.00 "
,,5,2.25,2680,13292,1,"$599,950.00 "
,,4,3.25,3830,6765,2,"$963,990.00 "
,,3,2,1610,3600,2,"$735,000.00 "
,,3,4.25,3840,9751,2,"$858,450.00 "
,,5,2.75,2670,4000,2,"$665,000.00 "
,,3,2.5,2000,7414,2,"$290,000.00 "
,,2,1,860,4320,1,"$250,000.00 "
,,3,1.75,1420,7205,1,"$192,500.00 "
,,4,2,2060,13400,1,"$350,000.00 "
,,4,2.5,2790,9910,2,"$518,000.00 "
,,4,1,1410,3376,1.5,"$563,000.00 "
,,4,3,2420,9566,2,"$375,000.00 "
